classification,type,bracket,units,employees,salaried,wages.thousand,avg.min.wages
71.2 Testes e análises técnicas,c,20 a 29,93,2186,2034,67905,"3,1"
71.2 Testes e análises técnicas,c,30 a 49,89,3366,3215,103643,3
71.2 Testes e análises técnicas,c,50 a 99,54,3573,3494,125917,"3,5"
71.2 Testes e análises técnicas,c,100 a 249,34,5107,5067,237290,"4,7"
71.2 Testes e análises técnicas,c,250 a 499,11,3763,3757,183422,"4,5"
71.2 Testes e análises técnicas,c,500 ou mais,9,11243,11238,513318,"4,3"
72.1 Pesquisa e desenvolvimento experimental em ciências físicas e naturais,c,Total,1023,41681,40089,4246020,"10,3"
72.1 Pesquisa e desenvolvimento experimental em ciências físicas e naturais,c,0 a 4,761,1194,156,13791,"6,6"
72.1 Pesquisa e desenvolvimento experimental em ciências físicas e naturais,c,5 a 9,99,646,368,24588,"6,2"
72.1 Pesquisa e desenvolvimento experimental em ciências físicas e naturais,c,10 a 19,47,X,X,X,X
72.1 Pesquisa e desenvolvimento experimental em ciências físicas e naturais,c,20 a 29,39,910,867,49740,"5,7"
72.1 Pesquisa e desenvolvimento experimental em ciências físicas e naturais,c,30 a 49,20,X,X,X,X
72.1 Pesquisa e desenvolvimento experimental em ciências físicas e naturais,c,50 a 99,10,661,652,43386,"6,7"
72.1 Pesquisa e desenvolvimento experimental em ciências físicas e naturais,c,100 a 249,22,3459,3440,322216,"8,9"
72.1 Pesquisa e desenvolvimento experimental em ciências físicas e naturais,c,250 a 499,10,X,X,X,X
72.1 Pesquisa e desenvolvimento experimental em ciências físicas e naturais,c,500 ou mais,15,30079,30079,3416055,"11,1"
72.2 Pesquisa e desenvolvimento experimental em ciências sociais e humanas,c,Total,479,2496,1833,93614,4
72.2 Pesquisa e desenvolvimento experimental em ciências sociais e humanas,c,0 a 4,411,613,101,3953,"2,7"
72.2 Pesquisa e desenvolvimento experimental em ciências sociais e humanas,c,5 a 9,35,215,110,4518,"3,8"
72.2 Pesquisa e desenvolvimento experimental em ciências sociais e humanas,c,10 a 19,14,X,X,X,X
72.2 Pesquisa e desenvolvimento experimental em ciências sociais e humanas,c,20 a 29,8,194,177,7018,"3,8"
72.2 Pesquisa e desenvolvimento experimental em ciências sociais e humanas,c,30 a 49,1,X,X,X,X
72.2 Pesquisa e desenvolvimento experimental em ciências sociais e humanas,c,50 a 99,5,X,X,X,X
72.2 Pesquisa e desenvolvimento experimental em ciências sociais e humanas,c,100 a 249,5,X,X,X,X
72.2 Pesquisa e desenvolvimento experimental em ciências sociais e humanas,c,250 a 499,-,-,-,-,-
72.2 Pesquisa e desenvolvimento experimental em ciências sociais e humanas,c,500 ou mais,-,-,-,-,-
73.1 Publicidade,c,Total,34310,137833,89709,3068908,"3,4"
73.1 Publicidade,c,0 a 4,30011,47046,7172,241727,"2,5"
73.1 Publicidade,c,5 a 9,2406,15432,10687,272462,"2,4"
73.1 Publicidade,c,10 a 19,1122,15060,12813,385489,"2,9"
73.1 Publicidade,c,20 a 29,285,6835,6356,212295,"3,3"
73.1 Publicidade,c,30 a 49,227,8509,8152,250221,"3,1"
73.1 Publicidade,c,50 a 99,154,10261,10037,337896,"3,4"
73.1 Publicidade,c,100 a 249,71,10213,10064,566487,"6,2"
73.1 Publicidade,c,250 a 499,23,7646,7614,500622,"6,6"
73.1 Publicidade,c,500 ou mais,11,16831,16814,301710,"2,1"
73.2 Pesquisas de mercado e de opinião pública,c,Total,1370,11468,9431,501784,"5,4"
73.2 Pesquisas de mercado e de opinião pública,c,0 a 4,1167,1965,306,10733,3
73.2 Pesquisas de mercado e de opinião pública,c,5 a 9,108,686,460,21850,"4,5"
73.2 Pesquisas de mercado e de opinião pública,c,10 a 19,46,597,499,23009,"4,1"
73.2 Pesquisas de mercado e de opinião pública,c,20 a 29,18,413,384,21689,6
73.2 Pesquisas de mercado e de opinião pública,c,30 a 49,8,277,265,8731,"3,1"
73.2 Pesquisas de mercado e de opinião pública,c,50 a 99,8,644,632,27527,"4,3"
73.2 Pesquisas de mercado e de opinião pública,c,100 a 249,7,1013,1012,93390,"9,1"
73.2 Pesquisas de mercado e de opinião pública,c,250 a 499,4,1364,1364,50558,"4,2"
73.2 Pesquisas de mercado e de opinião pública,c,500 ou mais,4,4509,4509,244297,"5,5"
74.1 Design e decoração de interiores,c,Total,3337,8201,3568,114324,3
74.1 Design e decoração de interiores,c,0 a 4,3032,4824,806,19951,2
74.1 Design e decoração de interiores,c,5 a 9,223,1402,981,22714,"2,2"
74.1 Design e decoração de interiores,c,10 a 19,59,731,570,14324,"2,5"
74.1 Design e decoração de interiores,c,20 a 29,11,X,X,X,X
74.1 Design e decoração de interiores,c,30 a 49,7,245,238,8030,"3,8"
74.1 Design e decoração de interiores,c,50 a 99,3,X,X,X,X
74.1 Design e decoração de interiores,c,100 a 249,1,X,X,X,X
74.1 Design e decoração de interiores,c,250 a 499,1,X,X,X,X
74.1 Design e decoração de interiores,c,500 ou mais,-,-,-,-,-
74.2 Atividades fotográficas e similares,c,Total,9284,31451,18813,334524,"1,6"
74.2 Atividades fotográficas e similares,c,0 a 4,7978,13856,3450,62091,"1,5"
74.2 Atividades fotográficas e similares,c,5 a 9,873,5501,4030,70757,"1,6"
74.2 Atividades fotográficas e similares,c,10 a 19,292,3812,3272,62158,"1,8"
74.2 Atividades fotográficas e similares,c,20 a 29,78,X,X,X,X
74.2 Atividades fotográficas e similares,c,30 a 49,38,1401,1340,29235,2
74.2 Atividades fotográficas e similares,c,50 a 99,16,X,X,X,X
74.2 Atividades fotográficas e similares,c,100 a 249,6,X,X,X,X
74.2 Atividades fotográficas e similares,c,250 a 499,1,X,X,X,X
74.2 Atividades fotográficas e similares,c,500 ou mais,2,X,X,X,X
"74.9 Atividades profissionais, científicas e técnicas não especificadas anteriormente",c,Total,23815,104268,67685,3030053,"4,3"
"74.9 Atividades profissionais, científicas e técnicas não especificadas anteriormente",c,0 a 4,21224,34881,4715,135279,"2,3"
"74.9 Atividades profissionais, científicas e técnicas não especificadas anteriormente",c,5 a 9,1584,9980,6148,164059,"2,6"
"74.9 Atividades profissionais, científicas e técnicas não especificadas anteriormente",c,10 a 19,584,7624,5853,206448,"3,4"
"74.9 Atividades profissionais, científicas e técnicas não especificadas anteriormente",c,20 a 29,150,3622,3334,122236,"3,7"
"74.9 Atividades profissionais, científicas e técnicas não especificadas anteriormente",c,30 a 49,117,4346,4109,165246,4
"74.9 Atividades profissionais, científicas e técnicas não especificadas anteriormente",c,50 a 99,74,4951,4813,256055,"5,2"
"74.9 Atividades profissionais, científicas e técnicas não especificadas anteriormente",c,100 a 249,41,6278,6199,315181,"4,4"
"74.9 Atividades profissionais, científicas e técnicas não especificadas anteriormente",c,250 a 499,19,X,X,X,X
"74.9 Atividades profissionais, científicas e técnicas não especificadas anteriormente",c,500 ou mais,22,X,X,X,X
75.0 Atividades veterinárias,c,Total,5005,16759,9042,162771,"1,9"
75.0 Atividades veterinárias,c,0 a 4,4072,8103,2509,34555,"1,4"
75.0 Atividades veterinárias,c,5 a 9,676,4229,2861,44981,"1,7"
75.0 Atividades veterinárias,c,10 a 19,196,X,X,X,X
75.0 Atividades veterinárias,c,20 a 29,35,772,659,14267,"2,2"
75.0 Atividades veterinárias,c,30 a 49,18,639,561,17160,"2,9"
75.0 Atividades veterinárias,c,50 a 99,8,X,X,X,X
75.0 Atividades veterinárias,c,100 a 249,-,-,-,-,-
75.0 Atividades veterinárias,c,250 a 499,-,-,-,-,-
75.0 Atividades veterinárias,c,500 ou mais,-,-,-,-,-
77.1 Locação de meios de transporte sem condutor,c,Total,12942,82244,63881,1644275,"2,5"
77.1 Locação de meios de transporte sem condutor,c,0 a 4,10317,18445,4912,112428,"1,7"
77.1 Locação de meios de transporte sem condutor,c,5 a 9,1525,9763,6883,146575,"1,9"
77.1 Locação de meios de transporte sem condutor,c,10 a 19,619,8239,6995,148397,2
77.1 Locação de meios de transporte sem condutor,c,20 a 29,176,X,X,X,X
77.1 Locação de meios de transporte sem condutor,c,30 a 49,131,4908,4731,110039,"2,2"
77.1 Locação de meios de transporte sem condutor,c,50 a 99,87,5822,5677,113302,2
77.1 Locação de meios de transporte sem condutor,c,100 a 249,53,7607,7539,177878,"2,6"
77.1 Locação de meios de transporte sem condutor,c,250 a 499,20,X,X,X,X
77.1 Locação de meios de transporte sem condutor,c,500 ou mais,14,16349,16338,569171,"3,5"
77.2 Aluguel de objetos pessoais e domésticos,c,Total,9836,45206,31667,521017,"1,6"
77.2 Aluguel de objetos pessoais e domésticos,c,0 a 4,7413,14672,5223,79162,"1,3"
77.2 Aluguel de objetos pessoais e domésticos,c,5 a 9,1600,10238,7600,111137,"1,4"
77.2 Aluguel de objetos pessoais e domésticos,c,10 a 19,591,7770,6715,109312,"1,6"
77.2 Aluguel de objetos pessoais e domésticos,c,20 a 29,119,2733,2532,42600,"1,6"
77.2 Aluguel de objetos pessoais e domésticos,c,30 a 49,80,X,X,X,X
77.2 Aluguel de objetos pessoais e domésticos,c,50 a 99,28,1864,1805,39321,"2,2"
77.2 Aluguel de objetos pessoais e domésticos,c,100 a 249,4,X,X,X,X
77.2 Aluguel de objetos pessoais e domésticos,c,250 a 499,-,-,-,-,-
77.2 Aluguel de objetos pessoais e domésticos,c,500 ou mais,1,X,X,X,X
77.3 Aluguel de máquinas e equipamentos sem operador,k,Total,22630,173033,140289,4033871,"2,6"
77.3 Aluguel de máquinas e equipamentos sem operador,k,0 a 4,15073,29010,9243,250849,2
77.3 Aluguel de máquinas e equipamentos sem operador,k,5 a 9,3864,25362,18620,416385,2
77.3 Aluguel de máquinas e equipamentos sem operador,k,10 a 19,2170,29224,25307,630641,"2,3"
77.3 Aluguel de máquinas e equipamentos sem operador,k,20 a 29,646,15226,14246,370447,"2,4"
77.3 Aluguel de máquinas e equipamentos sem operador,k,30 a 49,455,17183,16506,439494,"2,5"
77.3 Aluguel de máquinas e equipamentos sem operador,k,50 a 99,278,18970,18537,559119,"2,9"
77.3 Aluguel de máquinas e equipamentos sem operador,k,100 a 249,102,15355,15192,495875,"3,1"
77.3 Aluguel de máquinas e equipamentos sem operador,k,250 a 499,28,X,X,X,X
77.3 Aluguel de máquinas e equipamentos sem operador,k,500 ou mais,14,X,X,X,X
77.4 Gestão de ativos intangíveis não-financeiros,n,Total,1671,8700,6119,375133,"6,1"
77.4 Gestão de ativos intangíveis não-financeiros,n,0 a 4,1347,2263,412,19558,"3,4"
77.4 Gestão de ativos intangíveis não-financeiros,n,5 a 9,180,1168,734,24162,"3,3"
77.4 Gestão de ativos intangíveis não-financeiros,n,10 a 19,83,1099,892,29816,"3,6"
77.4 Gestão de ativos intangíveis não-financeiros,n,20 a 29,20,X,X,X,X
77.4 Gestão de ativos intangíveis não-financeiros,n,30 a 49,11,X,X,X,X
77.4 Gestão de ativos intangíveis não-financeiros,n,50 a 99,23,X,X,X,X
77.4 Gestão de ativos intangíveis não-financeiros,n,100 a 249,5,X,X,X,X
77.4 Gestão de ativos intangíveis não-financeiros,n,250 a 499,1,X,X,X,X
77.4 Gestão de ativos intangíveis não-financeiros,n,500 ou mais,1,X,X,X,X
78.1 Seleção e agenciamento de mão-de-obra,k,Total,2391,122052,118456,2440875,2
78.1 Seleção e agenciamento de mão-de-obra,k,0 a 4,1633,2939,638,22899,"1,9"
78.1 Seleção e agenciamento de mão-de-obra,k,5 a 9,210,1373,979,27363,"1,8"
78.1 Seleção e agenciamento de mão-de-obra,k,10 a 19,158,2124,1833,48097,"2,2"
78.1 Seleção e agenciamento de mão-de-obra,k,20 a 29,74,1771,1633,43934,"2,3"
78.1 Seleção e agenciamento de mão-de-obra,k,30 a 49,63,2379,2276,47834,"1,7"
78.1 Seleção e agenciamento de mão-de-obra,k,50 a 99,102,7281,7148,137969,"1,7"
78.1 Seleção e agenciamento de mão-de-obra,k,100 a 249,71,10764,10657,197561,"1,9"
78.1 Seleção e agenciamento de mão-de-obra,k,250 a 499,29,10231,10174,208522,"1,6"
78.1 Seleção e agenciamento de mão-de-obra,k,500 ou mais,51,83190,83118,1706696,"2,1"
78.2 Locação de mão-de-obra temporária,k,Total,3642,430666,425237,7376728,"1,7"
78.2 Locação de mão-de-obra temporária,k,0 a 4,1469,2850,792,69138,"1,6"
78.2 Locação de mão-de-obra temporária,k,5 a 9,435,2884,2131,73806,"1,5"
78.2 Locação de mão-de-obra temporária,k,10 a 19,370,5090,4450,124303,"1,7"
78.2 Locação de mão-de-obra temporária,k,20 a 29,211,5121,4793,119257,"1,6"
78.2 Locação de mão-de-obra temporária,k,30 a 49,245,9321,8992,198964,"1,7"
78.2 Locação de mão-de-obra temporária,k,50 a 99,317,22470,22029,433994,"1,7"
78.2 Locação de mão-de-obra temporária,k,100 a 249,288,46565,46154,774919,"1,6"
78.2 Locação de mão-de-obra temporária,k,250 a 499,148,51785,51561,943821,"1,9"
78.2 Locação de mão-de-obra temporária,k,500 ou mais,159,284580,284335,4638526,"1,7"
78.3 Fornecimento e gestão de recursos humanos para terceiros,k,Total,912,104712,103399,2389313,"2,2"
78.3 Fornecimento e gestão de recursos humanos para terceiros,k,0 a 4,491,842,171,9897,"1,7"
78.3 Fornecimento e gestão de recursos humanos para terceiros,k,5 a 9,93,604,440,13235,"1,5"
78.3 Fornecimento e gestão de recursos humanos para terceiros,k,10 a 19,82,1146,996,23715,"1,8"
78.3 Fornecimento e gestão de recursos humanos para terceiros,k,20 a 29,45,1114,1053,21604,"1,8"
78.3 Fornecimento e gestão de recursos humanos para terceiros,k,30 a 49,35,1349,1296,26033,"1,6"
78.3 Fornecimento e gestão de recursos humanos para terceiros,k,50 a 99,55,3837,3772,79379,"1,9"
78.3 Fornecimento e gestão de recursos humanos para terceiros,k,100 a 249,43,7088,7042,152589,"2,1"
78.3 Fornecimento e gestão de recursos humanos para terceiros,k,250 a 499,29,10492,10452,340699,"2,8"
78.3 Fornecimento e gestão de recursos humanos para terceiros,k,500 ou mais,39,78240,78177,1722162,"2,1"
79.1 Agências de viagens e operadores turísticos,c,Total,18471,95913,66695,2091699,"2,9"
79.1 Agências de viagens e operadores turísticos,c,0 a 4,13923,28293,8455,190516,"1,9"
79.1 Agências de viagens e operadores turísticos,c,5 a 9,2898,18382,12446,284793,"2,2"
79.1 Agências de viagens e operadores turísticos,c,10 a 19,1071,14041,11573,328934,"2,6"
79.1 Agências de viagens e operadores turísticos,c,20 a 29,251,X,X,X,X
79.1 Agências de viagens e operadores turísticos,c,30 a 49,174,6442,6185,184321,"2,8"
79.1 Agências de viagens e operadores turísticos,c,50 a 99,96,6391,6232,223620,"3,5"
79.1 Agências de viagens e operadores turísticos,c,100 a 249,32,X,X,X,X
79.1 Agências de viagens e operadores turísticos,c,250 a 499,18,X,X,X,X
79.1 Agências de viagens e operadores turísticos,c,500 ou mais,8,X,X,X,X
79.9 Serviços de reservas e outros serviços de turismo não especificados anteriormente,c,Total,1443,7523,5432,166947,"3,1"
79.9 Serviços de reservas e outros serviços de turismo não especificados anteriormente,c,0 a 4,1158,2111,560,11176,"1,7"
79.9 Serviços de reservas e outros serviços de turismo não especificados anteriormente,c,5 a 9,168,1067,754,14309,2
79.9 Serviços de reservas e outros serviços de turismo não especificados anteriormente,c,10 a 19,68,915,785,20576,"2,8"
79.9 Serviços de reservas e outros serviços de turismo não especificados anteriormente,c,20 a 29,12,X,X,X,X
79.9 Serviços de reservas e outros serviços de turismo não especificados anteriormente,c,30 a 49,17,701,655,17277,"2,8"
79.9 Serviços de reservas e outros serviços de turismo não especificados anteriormente,c,50 a 99,11,X,X,X,X
79.9 Serviços de reservas e outros serviços de turismo não especificados anteriormente,c,100 a 249,7,X,X,X,X
79.9 Serviços de reservas e outros serviços de turismo não especificados anteriormente,c,250 a 499,2,X,X,X,X
79.9 Serviços de reservas e outros serviços de turismo não especificados anteriormente,c,500 ou mais,-,-,-,-,-
"80.1 Atividades de vigilância, segurança privada e transporte de valores",c,Total,5347,660995,653862,15663174,"2,3"
"80.1 Atividades de vigilância, segurança privada e transporte de valores",c,0 a 4,2548,4397,1186,82818,"1,9"
"80.1 Atividades de vigilância, segurança privada e transporte de valores",c,5 a 9,622,4151,3230,57480,"1,5"
"80.1 Atividades de vigilância, segurança privada e transporte de valores",c,10 a 19,560,X,X,X,X
"80.1 Atividades de vigilância, segurança privada e transporte de valores",c,20 a 29,256,X,X,X,X
"80.1 Atividades de vigilância, segurança privada e transporte de valores",c,30 a 49,290,11107,10701,211449,"1,9"
"80.1 Atividades de vigilância, segurança privada e transporte de valores",c,50 a 99,338,23992,23568,522539,"2,1"
"80.1 Atividades de vigilância, segurança privada e transporte de valores",c,100 a 249,312,49331,48929,1126755,"2,1"
"80.1 Atividades de vigilância, segurança privada e transporte de valores",c,250 a 499,166,56717,56486,1317792,"2,3"
"80.1 Atividades de vigilância, segurança privada e transporte de valores",c,500 ou mais,255,497358,497001,12113735,"2,4"
80.2 Atividades de monitoramento de sistemas de segurança,c,Total,4580,70383,63995,1405829,"2,1"
80.2 Atividades de monitoramento de sistemas de segurança,c,0 a 4,2578,4700,1400,32717,"1,6"
80.2 Atividades de monitoramento de sistemas de segurança,c,5 a 9,627,4155,3169,57414,"1,6"
80.2 Atividades de monitoramento de sistemas de segurança,c,10 a 19,601,8239,7228,131500,"1,7"
80.2 Atividades de monitoramento de sistemas de segurança,c,20 a 29,285,6799,6385,118655,"1,8"
80.2 Atividades de monitoramento de sistemas de segurança,c,30 a 49,231,X,X,X,X
80.2 Atividades de monitoramento de sistemas de segurança,c,50 a 99,147,X,X,X,X
80.2 Atividades de monitoramento de sistemas de segurança,c,100 a 249,71,9959,9857,202013,2
80.2 Atividades de monitoramento de sistemas de segurança,c,250 a 499,31,10699,10669,345695,"3,1"
80.2 Atividades de monitoramento de sistemas de segurança,c,500 ou mais,9,7252,7241,169513,"2,9"
80.3 Atividades de investigação particular,c,Total,123,454,276,5471,2
80.3 Atividades de investigação particular,c,0 a 4,109,173,23,604,2
80.3 Atividades de investigação particular,c,5 a 9,9,63,42,1912,"4,7"
80.3 Atividades de investigação particular,c,10 a 19,1,X,X,X,X
80.3 Atividades de investigação particular,c,20 a 29,1,X,X,X,X
80.3 Atividades de investigação particular,c,30 a 49,1,X,X,X,X
80.3 Atividades de investigação particular,c,50 a 99,2,X,X,X,X
80.3 Atividades de investigação particular,c,100 a 249,-,-,-,-,-
80.3 Atividades de investigação particular,c,250 a 499,-,-,-,-,-
80.3 Atividades de investigação particular,c,500 ou mais,-,-,-,-,-
81.1 Serviços combinados para apoio a edifícios,c,Total,181613,929912,771781,15595690,2
81.1 Serviços combinados para apoio a edifícios,c,0 a 4,119534,159678,128862,2723934,2
81.1 Serviços combinados para apoio a edifícios,c,5 a 9,40910,255965,228690,4986404,"2,1"
81.1 Serviços combinados para apoio a edifícios,c,10 a 19,16470,204590,110778,2195697,"1,9"
81.1 Serviços combinados para apoio a edifícios,c,20 a 29,1849,43639,40406,818017,2
81.1 Serviços combinados para apoio a edifícios,c,30 a 49,1371,52094,50733,1010622,2
81.1 Serviços combinados para apoio a edifícios,c,50 a 99,926,63852,62827,1181061,"1,9"
81.1 Serviços combinados para apoio a edifícios,c,100 a 249,414,59581,59145,1160284,"1,9"
81.1 Serviços combinados para apoio a edifícios,c,250 a 499,90,X,X,X,X
81.1 Serviços combinados para apoio a edifícios,c,500 ou mais,49,X,X,X,X
81.2 Atividades de limpeza,c,Total,15509,875886,854431,13222328,"1,5"
81.2 Atividades de limpeza,c,0 a 4,8084,15486,5053,151441,"1,5"
81.2 Atividades de limpeza,c,5 a 9,2279,14956,11382,189038,"1,5"
81.2 Atividades de limpeza,c,10 a 19,1661,22751,20032,328450,"1,5"
81.2 Atividades de limpeza,c,20 a 29,683,16330,15406,255981,"1,5"
81.2 Atividades de limpeza,c,30 a 49,790,30448,29419,464608,"1,5"
81.2 Atividades de limpeza,c,50 a 99,875,61687,60533,895099,"1,4"
81.2 Atividades de limpeza,c,100 a 249,646,98615,97768,1372974,"1,3"
81.2 Atividades de limpeza,c,250 a 499,221,77184,76834,1051023,"1,3"
81.2 Atividades de limpeza,c,500 ou mais,270,538429,538004,8513712,"1,5"
81.3 Atividades paisagísticas,c,Total,5259,33974,27215,418924,"1,5"
81.3 Atividades paisagísticas,c,0 a 4,3917,6967,2200,42700,"1,4"
81.3 Atividades paisagísticas,c,5 a 9,710,4521,3442,52637,"1,4"
81.3 Atividades paisagísticas,c,10 a 19,326,4300,3816,59945,"1,5"
81.3 Atividades paisagísticas,c,20 a 29,91,2161,2035,29702,"1,4"
81.3 Atividades paisagísticas,c,30 a 49,102,3903,3755,54291,"1,4"
81.3 Atividades paisagísticas,c,50 a 99,77,5282,5173,83005,"1,6"
81.3 Atividades paisagísticas,c,100 a 249,30,4192,4150,52545,"1,4"
81.3 Atividades paisagísticas,c,250 a 499,4,X,X,X,X
81.3 Atividades paisagísticas,c,500 ou mais,2,X,X,X,X
82.1 Serviços de escritório e apoio administrativo,k,Total,78652,297055,190029,3898106,2
82.1 Serviços de escritório e apoio administrativo,k,0 a 4,66509,105960,20498,463416,"1,7"
82.1 Serviços de escritório e apoio administrativo,k,5 a 9,7082,45384,32436,631466,"1,8"
82.1 Serviços de escritório e apoio administrativo,k,10 a 19,3062,40364,34555,717362,2
82.1 Serviços de escritório e apoio administrativo,k,20 a 29,830,19761,18516,384986,"2,1"
82.1 Serviços de escritório e apoio administrativo,k,30 a 49,649,24429,23574,487311,"2,1"
82.1 Serviços de escritório e apoio administrativo,k,50 a 99,371,24992,24479,483629,2
82.1 Serviços de escritório e apoio administrativo,k,100 a 249,117,16669,16514,268300,"1,7"
82.1 Serviços de escritório e apoio administrativo,k,250 a 499,18,X,X,X,X
82.1 Serviços de escritório e apoio administrativo,k,500 ou mais,14,X,X,X,X
82.2 Atividades de teleatendimento,k,Total,2598,436626,433134,7127964,"1,5"
82.2 Atividades de teleatendimento,k,0 a 4,1477,2585,697,55887,"1,7"
82.2 Atividades de teleatendimento,k,5 a 9,359,X,X,X,X
82.2 Atividades de teleatendimento,k,10 a 19,293,4001,3553,58825,"1,5"
82.2 Atividades de teleatendimento,k,20 a 29,136,X,X,X,X
82.2 Atividades de teleatendimento,k,30 a 49,114,4302,4151,68038,"1,6"
82.2 Atividades de teleatendimento,k,50 a 99,67,4722,4650,74718,"1,6"
82.2 Atividades de teleatendimento,k,100 a 249,53,7769,7676,137536,"1,6"
82.2 Atividades de teleatendimento,k,250 a 499,32,11521,11491,197128,"1,7"
82.2 Atividades de teleatendimento,k,500 ou mais,67,396110,396039,6451461,"1,5"
"82.3 Atividades de organização de eventos, exceto culturais e esportivos",k,Total,21199,74602,45620,1045366,"2,1"
"82.3 Atividades de organização de eventos, exceto culturais e esportivos",k,0 a 4,18003,29867,6657,141876,"1,7"
"82.3 Atividades de organização de eventos, exceto culturais e esportivos",k,5 a 9,1987,X,X,X,X
"82.3 Atividades de organização de eventos, exceto culturais e esportivos",k,10 a 19,797,10515,9014,196541,"2,1"
"82.3 Atividades de organização de eventos, exceto culturais e esportivos",k,20 a 29,186,X,X,X,X
"82.3 Atividades de organização de eventos, exceto culturais e esportivos",k,30 a 49,114,4330,4184,113747,"2,7"
"82.3 Atividades de organização de eventos, exceto culturais e esportivos",k,50 a 99,83,5585,5467,120481,"2,1"
"82.3 Atividades de organização de eventos, exceto culturais e esportivos",k,100 a 249,24,3394,3362,77540,"2,6"
"82.3 Atividades de organização de eventos, exceto culturais e esportivos",k,250 a 499,2,X,X,X,X
"82.3 Atividades de organização de eventos, exceto culturais e esportivos",k,500 ou mais,3,X,X,X,X
82.9 Outras atividades de serviços prestados principalmente às empresas,k,Total,72032,440031,328969,7775513,"2,3"
82.9 Outras atividades de serviços prestados principalmente às empresas,k,0 a 4,53430,100028,25841,500680,"1,6"
82.9 Outras atividades de serviços prestados principalmente às empresas,k,5 a 9,12742,81975,56836,955589,"1,6"
82.9 Outras atividades de serviços prestados principalmente às empresas,k,10 a 19,3781,48425,39868,786387,"1,9"
82.9 Outras atividades de serviços prestados principalmente às empresas,k,20 a 29,746,17888,16687,374977,"2,1"
82.9 Outras atividades de serviços prestados principalmente às empresas,k,30 a 49,537,20199,19395,427276,"2,1"
82.9 Outras atividades de serviços prestados principalmente às empresas,k,50 a 99,428,29483,28856,664561,"2,3"
82.9 Outras atividades de serviços prestados principalmente às empresas,k,100 a 249,236,35385,35024,773725,"2,2"
82.9 Outras atividades de serviços prestados principalmente às empresas,k,250 a 499,63,21797,21707,530803,"2,4"
82.9 Outras atividades de serviços prestados principalmente às empresas,k,500 ou mais,69,84851,84755,2761514,"3,1"
84.1 Administração do estado e da política econômica e social,g,Total,16254,6540982,6540625,261517218,"3,7"
84.1 Administração do estado e da política econômica e social,g,0 a 4,4154,5588,5345,462102,"4,3"
84.1 Administração do estado e da política econômica e social,g,5 a 9,1850,12046,12013,406008,3
84.1 Administração do estado e da política econômica e social,g,10 a 19,1125,15098,15089,476476,"2,9"
84.1 Administração do estado e da política econômica e social,g,20 a 29,511,12286,12277,402201,3
84.1 Administração do estado e da política econômica e social,g,30 a 49,643,24789,24786,869930,"3,2"
84.1 Administração do estado e da política econômica e social,g,50 a 99,795,57437,57417,2106616,"3,4"
84.1 Administração do estado e da política econômica e social,g,100 a 249,2271,401761,401736,11975775,"2,7"
84.1 Administração do estado e da política econômica e social,g,250 a 499,2148,756561,756558,21878662,"2,7"
84.1 Administração do estado e da política econômica e social,g,500 ou mais,2757,5255416,5255404,222939448,4
84.2 Serviços coletivos prestados pela administração pública,g,Total,678,1175802,1175767,100537024,"8,3"
84.2 Serviços coletivos prestados pela administração pública,g,0 a 4,378,27,14,7473,"27,2"
84.2 Serviços coletivos prestados pela administração pública,g,5 a 9,15,121,115,5356,"4,8"
84.2 Serviços coletivos prestados pela administração pública,g,10 a 19,32,X,X,X,X
84.2 Serviços coletivos prestados pela administração pública,g,20 a 29,16,372,372,21122,"5,6"
84.2 Serviços coletivos prestados pela administração pública,g,30 a 49,26,1020,1020,68061,"6,4"
84.2 Serviços coletivos prestados pela administração pública,g,50 a 99,15,968,968,65623,"6,6"
84.2 Serviços coletivos prestados pela administração pública,g,100 a 249,21,3381,3381,257889,"7,5"
84.2 Serviços coletivos prestados pela administração pública,g,250 a 499,20,7246,7246,884868,12
84.2 Serviços coletivos prestados pela administração pública,g,500 ou mais,155,X,X,X,X
84.3 Seguridade social obrigatória,g,Total,1358,62615,62613,4927411,"7,6"
84.3 Seguridade social obrigatória,g,0 a 4,861,926,924,35456,"3,6"
84.3 Seguridade social obrigatória,g,5 a 9,147,966,966,38923,"3,9"
84.3 Seguridade social obrigatória,g,10 a 19,125,X,X,X,X
84.3 Seguridade social obrigatória,g,20 a 29,59,1393,1393,38235,"2,6"
84.3 Seguridade social obrigatória,g,30 a 49,52,1993,1993,66924,"3,3"
84.3 Seguridade social obrigatória,g,50 a 99,61,4204,4204,119416,"2,8"
84.3 Seguridade social obrigatória,g,100 a 249,36,5628,5628,186461,"3,2"
84.3 Seguridade social obrigatória,g,250 a 499,10,3369,3369,154193,"4,5"
84.3 Seguridade social obrigatória,g,500 ou mais,7,X,X,X,X
85.1 Educação infantil e ensino fundamental,c,Total,34863,772816,718579,19028626,"2,5"
85.1 Educação infantil e ensino fundamental,c,0 a 4,11374,20609,7727,159598,"1,3"
85.1 Educação infantil e ensino fundamental,c,5 a 9,6530,44925,34628,476374,"1,3"
85.1 Educação infantil e ensino fundamental,c,10 a 19,7190,99359,86760,1258338,"1,4"
85.1 Educação infantil e ensino fundamental,c,20 a 29,3653,87884,81498,1310148,"1,5"
85.1 Educação infantil e ensino fundamental,c,30 a 49,3588,136489,129537,2379799,"1,8"
85.1 Educação infantil e ensino fundamental,c,50 a 99,2019,133656,129424,2781927,"2,1"
